device,name,type
spine-1-1.nh.com,FastEthernet0/0,100base-tx
spine-1-1.nh.com,FastEthernet0/1,100base-tx
spine-1-1.nh.com,GigabitEthernet1/0,1000base-t
spine-1-1.nh.com,GigabitEthernet2/0,1000base-t
spine-1-1.nh.com,GigabitEthernet3/0,1000base-t
spine-1-2.nh.com,FastEthernet0/0,100base-tx
spine-1-2.nh.com,FastEthernet0/1,100base-tx
spine-1-2.nh.com,GigabitEthernet1/0,1000base-t
spine-1-2.nh.com,GigabitEthernet2/0,1000base-t
spine-1-2.nh.com,GigabitEthernet3/0,1000base-t
tor-1-1.nh.com,FastEthernet0/0,100base-tx
tor-1-1.nh.com,FastEthernet0/1,100base-tx
tor-1-1.nh.com,GigabitEthernet1/0,1000base-t
tor-1-1.nh.com,GigabitEthernet2/0,1000base-t
tor-1-1.nh.com,GigabitEthernet3/0,1000base-t
tor-1-1.nh.com,Loopback0,virtual
tor-1-2.nh.com,FastEthernet0/0,100base-tx
tor-1-2.nh.com,FastEthernet0/1,100base-tx
tor-1-2.nh.com,GigabitEthernet1/0,1000base-t
tor-1-2.nh.com,GigabitEthernet2/0,1000base-t
tor-1-2.nh.com,GigabitEthernet3/0,1000base-t
tor-1-2.nh.com,Loopback0,virtual
tor-1-3.nh.com,FastEthernet0/0,100base-tx
tor-1-3.nh.com,FastEthernet0/1,100base-tx
tor-1-3.nh.com,GigabitEthernet1/0,1000base-t
tor-1-3.nh.com,GigabitEthernet2/0,1000base-t
tor-1-3.nh.com,GigabitEthernet3/0,1000base-t
tor-1-3.nh.com,Loopback0,virtual
